,Hotel name,Marks,Region City,Performances,Reviews,Price,Distances,Discriptions,Stars,Breakfast,Guests reviews:
78,King Tomislav Square Studio Apartments,,"Lower Town, Zagreb",,,Original price 171 zł. Current price 160 zł.,0.7 km from center,Studio Apartment,0,,
79,Bumblebee Luxury Apartments 2,9.4,"Lower Town, Zagreb",Wonderful ,274 reviews,Original price 469 zł. Current price 439 zł.,0.6 km from center,One-Bedroom Apartment,3,,Location 9.6
80,Chez Ria,9.2,"Upper Town – Medvescak, Zagreb",Wonderful ,126 reviews,Original price 253 zł. Current price 237 zł.,0.5 km from center,One-Bedroom Apartment,3,,Location 9.8
81,Rooms at Zajčeva 34,9.4,"Maksimir, Zagreb",Wonderful ,"1,595 reviews",Original price 369 zł. Current price 297 zł.,1.8 km from center,Superior Twin Room with City View,3,,
82,B&B Fontana,9.1,"Lower Town, Zagreb",Wonderful ,929 reviews,Price 430 zł,0.5 km from center,Double Room with Private Bathroom,4,Breakfast included,Location 9.6
83,A8 b&b,9.5,"Lower Town, Zagreb",Exceptional ,195 reviews,Original price 477 zł. Current price 446 zł.,300 m from center,Double Room,4,Breakfast included,Location 9.9
84,Grand Bells Bed And Breakfast,8.8,"Upper Town – Medvescak, Zagreb",Excellent ,793 reviews,Price 383 zł,350 m from center,Deluxe Double Room with Extra Bed,3,Breakfast included,Location 9.9
85,Mickey Mouse Supilova 24,9.5,Zagreb,Exceptional ,259 reviews,Original price 244 zł. Current price 228 zł.,1.9 km from center,Superior Apartment,3,,Location 9.5
86,WOODY - Your Sleep Oasis in Zagreb,9.3,"Lower Town, Zagreb",Wonderful ,109 reviews,Original price 235 zł. Current price 219 zł.,0.5 km from center,Studio Apartment,3,,Location 9.8
87,Fusion Apartments,8.5,"Lower Town, Zagreb",Very Good ,43 reviews,Original price 282 zł. Current price 263 zł.,300 m from center,One-Bedroom Apartment,4,,Location 9.4
88,Zagreb City Vibe Apartments & Rooms,8.1,"Lower Town, Zagreb",Very Good ,485 reviews,Price 282 zł,500 m from center,Double or Twin Room with City View,4,,Location 9.4
89,Hostel IN Club,8.7,Zagreb,Excellent ,345 reviews,Original price 188 zł. Current price 175 zł.,5.6 km from center,Single Room with Shared Bathroom,0,,
90,Maksimir-Rebro,9.1,"Maksimir, Zagreb",Wonderful ,394 reviews,Original price 235 zł. Current price 219 zł.,3 km from center,Apartment - Ground Floor,3,,
91,Apartmani Arena Zagreb,9.2,"Novi Zagreb, Zagreb",Wonderful ,234 reviews,Original price 169 zł. Current price 158 zł.,5.1 km from center,One-Bedroom Apartment,3,,
92,Hotel National,8.5,Zagreb,Very Good ,"1,174 reviews",Original price 383 zł. Current price 359 zł.,1.8 km from center,Budget Double Room,3,,
93,Apartments Lisinski,9.4,Zagreb,Wonderful ,"1,005 reviews",Original price 200 zł. Current price 187 zł.,1.5 km from center,Studio Apartment,3,,Location 9.3
94,MonikaRooms,9.3,Zagreb,Wonderful ,331 reviews,Original price 225 zł. Current price 211 zł.,2.6 km from center,Twin Room with Private Bathroom,3,,
95,Apartman DOWNTOWN DL,9.5,"Upper Town – Medvescak, Zagreb",Exceptional ,185 reviews,Original price 385 zł. Current price 360 zł.,50 m from center,One-Bedroom Apartment,4,,Location 9.9
96,Centar Guesthouse,8.6,"Lower Town, Zagreb",Excellent ,402 reviews,Price 216 zł,0.7 km from center,Quadruple Room,3,,Location 9.5
97,TOMISLAV,8.2,Zagreb,Very Good ,497 reviews,Price 141 zł,2.2 km from center,Twin Room,0,,
