,Hotel name,Marks,Region City,Performances,Reviews,Price,Distances,Discriptions,Stars,Breakfast,Guests reviews:
31,"Holiday Inn Edinburgh Zoo, an IHG Hotel",7.4,"Murrayfield, Edinburgh",Good ,"4,891 reviews",Price 320 zł,4.7 km from center,Standard Double Room,4,,
32,Mayfair Guest House,7.0,"Broughton, Edinburgh",Good ,447 reviews,Price 191 zł,2.1 km from center,Single Room with Shared Bathroom,0,,
33,"voco Edinburgh - Haymarket, an IHG Hotel",8.8,"West End, Edinburgh",Excellent ,"3,700 reviews",Price 588 zł,1.2 km from center,Standard Twin Room,4,,
34,ibis Edinburgh Centre South Bridge – Royal Mile,7.9,"Old Town, Edinburgh",Good ,"6,555 reviews",Price 403 zł,400 m from center,Standard Room with 1 Double Bed,3,,
35,Market Street hotel,9.0,"Old Town, Edinburgh",Wonderful ,"1,110 reviews",Price 946 zł,350 m from center,Double Room ACCESSIBLE (wheelchair friendly),4,,Location 9.8
36,The Scholar,8.8,"Newington, Edinburgh",Excellent ,"2,616 reviews",Price 437 zł,1.6 km from center,Deluxe Single Room,4,,
37,ibis Styles Edinburgh St Andrew Square,8.5,"New Town, Edinburgh",Very Good ,"5,349 reviews",Price 577 zł,0.7 km from center,Queen Room,3,Breakfast included,Location 9.7
38,"Holiday Inn Express Edinburgh City Centre, an IHG Hotel",8.1,"New Town, Edinburgh",Very Good ,"7,422 reviews",Price 451 zł,1.1 km from center,Room allocated on arrival,3,Breakfast included,Location 9.3
39,Apex Waterloo Place Hotel,8.5,"New Town, Edinburgh",Very Good ,"3,989 reviews",Price 812 zł,0.7 km from center,City Double Room,4,,Location 9.6
40,Aparthotel Adagio Edinburgh Royal Mile,8.6,"Old Town, Edinburgh",Excellent ,"6,057 reviews",Price 588 zł,0.7 km from center,Studio with Double Bed,4,,Location 9.6
41,Leonardo Royal Hotel Edinburgh - Formerly Jurys Inn,7.8,"Old Town, Edinburgh",Good ,"8,220 reviews",Price 579 zł,0.6 km from center,Partner offer option,4,,
42,Cityroomz Edinburgh,7.8,"West End, Edinburgh",Good ,"6,192 reviews",Price 316 zł,1 km from center,Compact Double Room,3,,Location 9.3
43,East Claremont Guest House,8.0,"Broughton, Edinburgh",Very Good ,325 reviews,Price 593 zł,1.4 km from center,Small Double Room,3,Breakfast included,
44,Courtyard by Marriott Edinburgh West,8.3,Edinburgh,Very Good ,"1,957 reviews",Price 366 zł,8.7 km from center,Standard King Room,4,,
45,Cairn Hotel & Apartments,8.0,Edinburgh,Very Good ,"3,812 reviews",Price 394 zł,1.3 km from center,Single Room,3,,
46,Dalmahoy Hotel & Country Club,8.0,Edinburgh,Very Good ,"4,411 reviews",Price 462 zł,12.1 km from center,Classic Double Room,4,,
47,ibis Edinburgh Centre Royal Mile – Hunter Square,8.3,"Old Town, Edinburgh",Very Good ,"4,229 reviews",Price 479 zł,350 m from center,Twin SweetRoom,3,,Location 9.6
48,Grassmarket Hotel,8.0,"Old Town, Edinburgh",Very Good ,"2,350 reviews",Price 539 zł,100 m from center,Single Room,3,,Location 9.6
49,Sheraton Grand Hotel & Spa,8.3,"Haymarket, Edinburgh",Very Good ,"2,217 reviews",Price 998 zł,0.9 km from center,"Classic, Guest room, 1 King",5,,Location 9.3
50,Sheraton Grand Hotel & Spa,8.3,"Haymarket, Edinburgh",Very Good ,"2,217 reviews",Price 998 zł,0.9 km from center,"Classic, Guest room, 1 King",5,,Location 9.3
51,"voco Edinburgh - Haymarket, an IHG Hotel",8.8,"West End, Edinburgh",Excellent ,"3,700 reviews",Price 588 zł,1.2 km from center,Standard Twin Room,4,,
52,Courtyard by Marriott Edinburgh,8.4,"New Town, Edinburgh",Very Good ,"4,149 reviews",Price 594 zł,1.1 km from center,"Guest Room, 1 King",4,,Location 9.3
53,Edinburgh Backpackers,7.5,"Old Town, Edinburgh",Good ,558 reviews,Original price 154 zł. Current price 144 zł.,400 m from center,Bed in 8-Bed Mixed Dormitory Room,0,,Location 9.5
54,Novotel Edinburgh Centre,7.9,"Edinburgh City Centre, Edinburgh",Good ,"5,093 reviews",Price 403 zł,0.6 km from center,Superior Double Room,4,,
55,Melville Castle Hotel,8.5,Edinburgh,Very Good ,537 reviews,Price 534 zł,8.4 km from center,Single Room,4,,
56,Leonardo Royal Hotel Edinburgh - Formerly Jurys Inn,7.8,"Old Town, Edinburgh",Good ,"8,220 reviews",Price 579 zł,0.6 km from center,Partner offer option,4,,
57,Apex Grassmarket Hotel,8.4,"Old Town, Edinburgh",Very Good ,"4,462 reviews",Price 648 zł,250 m from center,City Twin Room,4,,Location 9.6
58,Apex Waterloo Place Hotel,8.5,"New Town, Edinburgh",Very Good ,"3,989 reviews",Price 812 zł,0.7 km from center,City Double Room,4,,Location 9.6
59,"InterContinental Hotels - Edinburgh The George, an IHG Hotel",8.6,"New Town, Edinburgh",Excellent ,"1,419 reviews",Price 991 zł,0.7 km from center,1 Double Bed Cozy,5,,Location 9.7
60,Aparthotel Adagio Edinburgh Royal Mile,8.6,"Old Town, Edinburgh",Excellent ,"6,057 reviews",Price 588 zł,0.7 km from center,Studio with Double Bed,4,,Location 9.6
61,Delta Hotels by Marriott Edinburgh,7.4,Edinburgh,Good ,"3,435 reviews",Price 414 zł,7.5 km from center,Deluxe Double Room,4,,
62,The Bonham,8.9,"West End, Edinburgh",Excellent ,"1,142 reviews",Price 686 zł,1.5 km from center, Townhouse Double,5,,Location 9.3
