,Hotel name,Marks,Region City,Performances,Reviews,Price,Distances,Discriptions,Stars,Breakfast,Guests reviews:
187,NH Porto Jardim,8.9,"União de Freguesias do Centro, Porto",Excellent ,804 reviews,Price 404 zł,0.8 km from center,Standard Double or Twin Room,4,,
188,Aparthotel Oporto Anselmo,8.8,"Bonfim, Porto",Excellent ,"2,888 reviews",Price 297 zł,0.9 km from center,One-Bedroom Apartment with Balcony and Street View,4,,
189,Infante Sagres – Luxury Historic Hotel,9.0,"União de Freguesias do Centro, Porto",Wonderful ,"1,052 reviews",Price 685 zł,250 m from center,Classic Double Room,5,,Location 9.5
190,Allegra 508,8.6,"Bonfim, Porto",Excellent ,614 reviews,Original price 544 zł. Current price 437 zł.,0.8 km from center,Double Room,3,,
191,Hotel da Bolsa,8.0,"União de Freguesias do Centro, Porto",Very Good ,868 reviews,Price 364 zł,0.9 km from center,Twin Room,3,,Location 9.6
192,Casual Inca Porto,8.2,"União de Freguesias do Centro, Porto",Very Good ,"2,842 reviews",Original price 458 zł. Current price 368 zł.,400 m from center,Standard Single Room,4,,
193,Porto Riad - Guest House,7.3,"Bonfim, Porto",Good ,540 reviews,Price 183 zł,0.9 km from center,Single Room with Shared Bathroom,0,,
194,Queen's Garden Hostel,9.1,"Ramalde, Porto",Wonderful ,242 reviews,Price 128 zł,3.5 km from center,Bed in 6-Bed Mixed Dormitory Room,0,,
195,MyStay Porto Centro,8.2,"União de Freguesias do Centro, Porto",Very Good ,"1,654 reviews",Price 347 zł,400 m from center,Double Room with Balcony,4,,
196,INVICTA HOUSE MARQUÊS,7.3,"Bonfim, Porto",Good ,75 reviews,Price 197 zł,1.1 km from center,Deluxe Apartment,3,,
197,Apartment by the Sea,9.9,"Aldoar - Foz do Douro - Nevogilde, Porto",Exceptional ,197 reviews,Price 455 zł,5.8 km from center,Apartment,4,,Location 9.9
198,O2 Hostel,8.2,"Bonfim, Porto",Very Good ,627 reviews,Price 70 zł,1.2 km from center,Bed in 8-Bed Dormitory Room,0,,
199,Porto Republica Hostel & Suites,8.3,"União de Freguesias do Centro, Porto",Very Good ,"1,108 reviews",Price 192 zł,500 m from center,Mixed Dormitory Room,0,,
200,Gran Cruz House,9.5,"União de Freguesias do Centro, Porto",Exceptional ,299 reviews,Price 760 zł,1 km from center,Deluxe Double or Twin Room with City View,4,Breakfast included,Location 9.8
201,Aparthotel Oporto Palace,8.5,"Bonfim, Porto",Very Good ,617 reviews,Price 305 zł,0.7 km from center,Studio Apartment,4,,
202,Invicta house Boavista,7.7,"União de Freguesias do Centro, Porto",Good ,98 reviews,Price 169 zł,1.7 km from center,Deluxe Apartment,3,,
203,Oca Republik Hotel,8.4,"União de Freguesias do Centro, Porto",Very Good ,255 reviews,Price 427 zł,500 m from center,Double or Twin Room,4,,
204,TRYP by Wyndham Porto Centro Hotel,8.1,"Bonfim, Porto",Very Good ,494 reviews,Price 284 zł,1.1 km from center,Deluxe Twin Room - Non-Smoking,3,,
205,The Rex Hotel,8.5,"União de Freguesias do Centro, Porto",Very Good ,960 reviews,Price 221 zł,0.7 km from center,Comfort Double Room (Semi Basement),2,,
